,location,year,type_simple,type_detail,cand1_name,cand2_name,electiondate,cand1_actual,cand2_actual
64,CA-44,2018,House-G,House-G,Democrat,Republican,11/6/2018,68.33842675932516,0
65,CA-45,2018,House-G,House-G,Democrat,Republican,11/6/2018,52.05100740609717,47.94899259390283
66,CA-46,2018,House-G,House-G,Democrat,Republican,11/6/2018,69.14600178479677,30.85399821520322
67,CA-47,2018,House-G,House-G,Democrat,Republican,11/6/2018,64.85549865180332,35.14450134819667
68,CA-48,2018,House-G,House-G,Democrat,Republican,11/6/2018,53.55199229140655,46.44800770859345
69,CA-49,2018,House-G,House-G,Democrat,Republican,11/6/2018,56.41900823645053,43.58099176354947
70,CA-50,2018,House-G,House-G,Democrat,Republican,11/6/2018,48.28451560755937,51.71548439244062
71,CA-51,2018,House-G,House-G,Democrat,Republican,11/6/2018,71.20095171230206,28.79904828769795
72,CA-52,2018,House-G,House-G,Democrat,Republican,11/6/2018,63.84713875009712,36.15286124990288
73,CA-53,2018,House-G,House-G,Democrat,Republican,11/6/2018,69.07408647514454,30.925913524855464
74,CO-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,73.81421882480869,23.048042565047215
75,CO-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,60.28786802101186,33.64985810958306
76,CO-3,2018,House-G,House-G,Democrat,Republican,11/6/2018,43.55466716638558,51.5201270713795
77,CO-4,2018,House-G,House-G,Democrat,Republican,11/6/2018,39.38070577030267,60.61929422969733
78,CO-5,2018,House-G,House-G,Democrat,Republican,11/6/2018,39.31503665018829,57.02924266608812
79,CO-6,2018,House-G,House-G,Democrat,Republican,11/6/2018,54.10317256651203,42.87131253658269
80,CO-7,2018,House-G,House-G,Democrat,Republican,11/6/2018,60.43087992520842,35.42363153316805
81,CT-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,60.60954256949004,35.02735828408842
82,CT-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,57.990619617175234,35.44726301735647
83,CT-3,2018,House-G,House-G,Democrat,Republican,11/6/2018,60.395057708176836,35.4008858824966
84,CT-4,2018,House-G,House-G,Democrat,Republican,11/6/2018,61.21000830760636,37.429575804187174
85,CT-5,2018,House-G,House-G,Democrat,Republican,11/6/2018,52.79645612272043,42.54204474920935
86,DE-0,2018,House-G,House-G,Democrat,Republican,11/6/2018,64.45396995495227,35.54603004504773
87,FL-1,2018,House-G,House-G,Democrat,Republican,11/6/2018,16.470681290866906,33.52931870913309
88,FL-2,2018,House-G,House-G,Democrat,Republican,11/6/2018,16.279333351377687,33.72066664862231
89,FL-3,2018,House-G,House-G,Democrat,Republican,11/6/2018,21.187878471497182,28.81212152850282
90,FL-4,2018,House-G,House-G,Democrat,Republican,11/6/2018,16.17722275992855,32.57975758624941
91,FL-5,2018,House-G,House-G,Democrat,Republican,11/6/2018,33.39060985624764,16.60939014375236
92,FL-6,2018,House-G,House-G,Democrat,Republican,11/6/2018,21.84301466511214,28.156985334887864
93,FL-7,2018,House-G,House-G,Democrat,Republican,11/6/2018,28.845959961940533,21.15404003805947
94,FL-8,2018,House-G,House-G,Democrat,Republican,11/6/2018,19.750947917909063,30.249052082090937
95,FL-9,2018,House-G,House-G,Democrat,Republican,11/6/2018,29.010874949871436,20.989125050128564
96,FL-10,2018,House-G,House-G,Democrat,Republican,11/6/2018,100.0,0
97,FL-11,2018,House-G,House-G,Democrat,Republican,11/6/2018,17.421892431688192,32.57021654068233
98,FL-12,2018,House-G,House-G,Democrat,Republican,11/6/2018,19.83231716420139,29.04651287777904
99,FL-13,2018,House-G,House-G,Democrat,Republican,11/6/2018,28.822352833539977,21.177647166460023
100,FL-14,2018,House-G,House-G,Democrat,Republican,11/6/2018,100.0,0
101,FL-15,2018,House-G,House-G,Democrat,Republican,11/6/2018,23.48808539848423,26.508412367090205
102,FL-16,2018,House-G,House-G,Democrat,Republican,11/6/2018,22.71927304072983,27.28072695927017
103,FL-17,2018,House-G,House-G,Democrat,Republican,11/6/2018,18.87060414788097,31.129395852119025
